bronze,sliver,gold,sliver_lines,gold_lines,difference
palmares-definitif-kasai-oriental-2017-91.pdf,palmares-definitif-kasai-oriental-2017-91.txt,palmares-2017-definitif-kasai-oriental-91.txt,14091,13373,-718
palmares-definitif-kinshasa-centre-2017-12.pdf,palmares-definitif-kinshasa-centre-2017-12.txt,palmares-2017-definitif-kinshasa-centre-12.txt,31066,29611,-1455
palmares-definitif-kinshasa-est-2017-11-definitif.pdf,palmares-definitif-kinshasa-est-2017-11-definitif.txt,palmares-2017-definitif-kinshasa-est-11-definitif.txt,46999,44244,-2755
palmares-definitif-kinshasa-ouest-2017-13.pdf,palmares-definitif-kinshasa-ouest-2017-13.txt,palmares-2017-definitif-kinshasa-ouest-13.txt,32791,30701,-2090
palmares-definitif-kongo-central-2-2017-22.pdf,palmares-definitif-kongo-central-2-2017-22.txt,palmares-2017-definitif-kongo-central-2-22.txt,13538,12527,-1011
palmares-definitif-kongo-central1-2017-21.pdf,palmares-definitif-kongo-central1-2017-21.txt,palmares-2017-definitif-kongo-central1-21.txt,17799,16537,-1262
palmares-definitif-kwango-2017-33.pdf,palmares-definitif-kwango-2017-33.txt,palmares-2017-definitif-kwango-33.txt,16667,15196,-1471
palmares-definitif-kwilu-2017-32.pdf,palmares-definitif-kwilu-2017-32.txt,palmares-2017-definitif-kwilu-32.txt,57143,52374,-4769
palmares-definitif-lomami2017-93.pdf,palmares-definitif-lomami2017-93.txt,palmares-2017-definitif-lomami-93.txt,19170,17909,-1261
palmares-definitif-lualaba-2017-74.pdf,palmares-definitif-lualaba-2017-74.txt,palmares-2017-definitif-lualaba-74.txt,8382,7827,-555
palmares-definitif-maindombe-2017-31.pdf,palmares-definitif-maindombe-2017-31.txt,palmares-2017-definitif-maindombe-31.txt,12884,11993,-891
palmares-definitif-maniema-2017-64.pdf,palmares-definitif-maniema-2017-64.txt,palmares-2017-definitif-maniema-64.txt,13928,12915,-1013
palmares-definitif-mongala-2017-44.pdf,palmares-definitif-mongala-2017-44.txt,palmares-2017-definitif-mongala-44.txt,7267,6698,-569
palmares-definitif-nord-kivu-1-2017-61.pdf,palmares-definitif-nord-kivu-1-2017-61.txt,palmares-2017-definitif-nord-kivu-1-61.txt,25365,23911,-1454
palmares-definitif-nord-kivu-2-2017-62.pdf,palmares-definitif-nord-kivu-2-2017-62.txt,palmares-2017-definitif-nord-kivu-2-62.txt,22010,20732,-1278
palmares-definitif-nord-ubangi-2017-45.pdf,palmares-definitif-nord-ubangi-2017-45.txt,palmares-2017-definitif-nord-ubangi-45.txt,5431,5028,-403
