filename,year,region,province,total,unique_names,m,f,lower_threshold,upper_threshold,is_low_outlier,is_high_outlier
palmares-2016-mongala-44.txt,2016,mongala-44,equateur,4393,4392,3237,1156,-11453.0,31227.0,false,false
palmares-2022-junacyc.txt,2022,junacyc,autre,4336,4334,3607,729,-11453.0,31227.0,false,false
palmares-2019-tanganyika-2-77.txt,2019,tanganyika-2-77,katanga,4320,4307,3392,928,-11453.0,31227.0,false,false
palmares-2022-sud-ubangi-1-code-42.txt,2022,sud-ubangi-1-code-42,equateur,4316,4314,2718,1598,-11453.0,31227.0,false,false
palmares-2023-lualaba-2-78.txt,2023,lualaba-2-78,katanga,4237,4231,3024,1213,-11453.0,31227.0,false,false
palmares-2022-maniema-2-code-68-1.txt,2022,maniema-2-code-68-1,maniema,4216,4195,3290,926,-11453.0,31227.0,false,false
palmares-2019-junacyc.txt,2019,junacyc,autre,4209,4207,3328,881,-11453.0,31227.0,false,false
palmares-2021-kongo-central-3.txt,2021,kongo-central-3,bas-congo,4201,4200,2579,1622,-11453.0,31227.0,false,false
palmares-2016-junacyc.txt,2016,junacyc,autre,4099,4094,2971,1128,-11453.0,31227.0,false,false
palmares-2020-junacyc-final.txt,2020,junacyc-final,autre,4065,4065,3340,725,-11453.0,31227.0,false,false
palmares-2019-haut-uele-53.txt,2019,haut-uele-53,orientale,4049,4049,2473,1576,-11453.0,31227.0,false,false
palmares-2019-tshuapa-43.txt,2019,tshuapa-43,equateur,4003,4000,2744,1259,-11453.0,31227.0,false,false
palmares-2022-sud-ubangi-2-code-47.txt,2022,sud-ubangi-2-code-47,equateur,3979,3978,2921,1058,-11453.0,31227.0,false,false
palmares-2023-sud-kivu-3-67.txt,2023,sud-kivu-3-67,sud-kivu,3955,3930,2831,1124,-11453.0,31227.0,false,false
palmares-2018-nord-ubangi.txt,2018,nord-ubangi,equateur,3952,3952,2875,1077,-11453.0,31227.0,false,false
palmares-2013-equateur-2-42.txt,2013,equateur-2-42,equateur,3934,3932,3205,729,-11453.0,31227.0,false,false
palmares-2018-haut-uele.txt,2018,haut-uele,orientale,3792,3792,2349,1443,-11453.0,31227.0,false,false
palmares-2015-junacyc.txt,2015,junacyc,autre,3790,3790,2821,969,-11453.0,31227.0,false,false
palmares-2021-mongala-1.txt,2021,mongala-1,equateur,3780,3780,2701,1079,-11453.0,31227.0,false,false
palmares-2017-definitif-nord-ubangi-45.txt,2017,definitif-nord-ubangi-45,equateur,3721,3721,2719,1002,-11453.0,31227.0,false,false
palmares-2019-nord-ubangi-45.txt,2019,nord-ubangi-45,equateur,3706,3706,2510,1196,-11453.0,31227.0,false,false
